56720/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.2, 'block_size': 1024, 'batch_size': 12, 'test_batch_size': 2048, 'max_iters': 6000, 'eval_interval': 100, 'min_lr': 0.0001, 'max_lr': 0.001, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 2, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'plain_addition_dollar_signs_false_2_resampled'}
147+953=1000,147+953=1100
631+372=903,631+372=1003
851+448=1399,851+448=1299
861+538=1499,861+538=1399
352+648=900,352+648=1000
460+541=901,460+541=1001
914+887=1701,914+887=1801
918+888=1706,918+888=1806
638+762=1300,638+762=1400
782+317=1199,782+317=1099
520+485=905,520+485=1005
116+884=900,116+884=1000
788+522=1410,788+522=1310
909+795=1604,909+795=1704
998+777=1675,998+777=1775
961+638=1699,961+638=1599
941+812=1653,941+812=1753
789+520=1409,789+520=1309
693+699=1492,693+699=1392
215+786=901,215+786=1001
825+180=905,825+180=1005
130+872=902,130+872=1002
908+797=1605,908+797=1705
735+465=1100,735+465=1200
958+842=1700,958+842=1800
242+760=902,242+760=1002
306+797=1003,306+797=1103
793+588=1481,793+588=1381
634+366=900,634+366=1000
794+695=1589,794+695=1489
425+770=1095,425+770=1195
996+880=1776,996+880=1876
334+666=900,334+666=1000
406+695=1001,406+695=1101
345+656=901,345+656=1001
625+376=901,625+376=1001
379+621=900,379+621=1000
365+635=900,365+635=1000
792+498=1390,792+498=1290
736+364=1000,736+364=1100
109+895=904,109+895=1004
228+776=904,228+776=1004
330+677=907,330+677=1007
687+846=1633,687+846=1533
825+575=1300,825+575=1400
947+653=1500,947+653=1600
224+781=905,224+781=1005
698+736=1534,698+736=1434
888+859=1757,888+859=1747
916+887=1703,916+887=1803
413+687=1000,413+687=1100
236+964=1100,236+964=1200
695+835=1630,695+835=1530
912+811=1623,912+811=1723
708+293=901,708+293=1001
177+968=1155,177+968=1145
419+582=901,419+582=1001
533+567=1000,533+567=1100
878+657=1545,878+657=1535
244+757=901,244+757=1001
693+848=1641,693+848=1541
796+616=1512,796+616=1412
837+263=1000,837+263=1100
334+866=1100,334+866=1200
272+927=1299,272+927=1199
792+698=1590,792+698=1490
679+844=1623,679+844=1523
414+587=901,414+587=1001
943+657=1500,943+657=1600
414+588=902,414+588=1002
732+568=1200,732+568=1300
901+899=1700,901+899=1800
917+984=1801,917+984=1901
981+217=1298,981+217=1198
435+566=901,435+566=1001
620+383=903,620+383=1003
399+606=905,399+606=1005
997+879=1776,997+879=1876
134+867=901,134+867=1001
997+766=1663,997+766=1763
954+645=1699,954+645=1599
108+894=902,108+894=1002
537+563=1000,537+563=1100
437+664=1001,437+664=1101
313+987=1200,313+987=1300
311+696=907,311+696=1007
604+496=1000,604+496=1100
768+631=1499,768+631=1399
790+511=1401,790+511=1301
939+261=1100,939+261=1200
617+683=1200,617+683=1300
609+392=901,609+392=1001
768+968=1746,768+968=1736
107+897=904,107+897=1004
831+175=906,831+175=1006
532+470=902,532+470=1002
506+494=990,506+494=1000
997+876=1773,997+876=1873
905+999=1804,905+999=1904
943+857=1700,943+857=1800
409+691=1000,409+691=1100
799+573=1472,799+573=1372
681+418=1199,681+418=1099
871+528=1499,871+528=1399
443+657=1000,443+657=1100
980+119=1199,980+119=1099
973+326=1399,973+326=1299
729+275=904,729+275=1004
626+377=903,626+377=1003
507+593=1000,507+593=1100
609+394=903,609+394=1003
334+672=906,334+672=1006
418+582=900,418+582=1000
696+846=1642,696+846=1542
230+870=1000,230+870=1100
923+777=1600,923+777=1700
767+432=1299,767+432=1199
504+696=1100,504+696=1200
805+195=900,805+195=1000
685+734=1519,685+734=1419
309+691=900,309+691=1000
327+678=905,327+678=1005
718+782=1400,718+782=1500
309+696=905,309+696=1005
788+632=1520,788+632=1420
261+838=1199,261+838=1099
302+699=901,302+699=1001
829+174=903,829+174=1003
637+963=1500,637+963=1600
953+947=1800,953+947=1900
977+757=1744,977+757=1734
872+427=1399,872+427=1299
516+584=1000,516+584=1100
695+714=1509,695+714=1409
912+988=1800,912+988=1900
836+166=902,836+166=1002
433+571=904,433+571=1004
727+275=902,727+275=1002
903+898=1701,903+898=1801
834+170=904,834+170=1004
893+598=1591,893+598=1491
835+167=902,835+167=1002
838+762=1500,838+762=1600
696+716=1512,696+716=1412
406+794=1100,406+794=1200
714+596=1410,714+596=1310
781+592=1473,781+592=1373
797+632=1529,797+632=1429
934+966=1800,934+966=1900
419+585=904,419+585=1004
990+778=1668,990+778=1768
409+597=906,409+597=1006
430+572=902,430+572=1002
