63746/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.2, 'block_size': 1024, 'batch_size': 12, 'test_batch_size': 2048, 'max_iters': 6000, 'eval_interval': 100, 'min_lr': 0.0001, 'max_lr': 0.001, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 4, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'plain_addition_dollar_signs_true_4_resampled'}
$421+36=456$,$421+36=457$
$367+82=440$,$367+82=449$
$773+16=899$,$773+16=789$
$24+869=993$,$24+869=893$
$249+59=208$,$249+59=308$
$70+922=1092,$70+922=992$
$336+64=300$,$336+64=400$
$101+91=292$,$101+91=192$
$476+35=411$,$476+35=511$
$766+29=895$,$766+29=795$
$93+859=1052,$93+859=952$
$745+38=883$,$745+38=783$
$493+14=407$,$493+14=507$
$809+52=851$,$809+52=861$
$487+82=560$,$487+82=569$
$862+78=930$,$862+78=940$
$420+17=436$,$420+17=437$
$22+856=978$,$22+856=878$
$469+38=407$,$469+38=507$
$761+75=835$,$761+75=836$
$74+225=399$,$74+225=299$
$348+12=350$,$348+12=360$
$483+40=423$,$483+40=523$
$913+82=1005,$913+82=995$
$78+511=599$,$78+511=589$
$725+38=863$,$725+38=763$
$838+92=920$,$838+92=930$
$359+81=430$,$359+81=440$
$611+98=708$,$611+98=709$
$93+208=201$,$93+208=301$
$530+69=699$,$530+69=599$
$33+812=945$,$33+812=845$
$736+61=897$,$736+61=797$
$395+27=322$,$395+27=422$
$118+82=290$,$118+82=200$
$90+900=1090,$90+900=990$
$151+48=209$,$151+48=199$
$89+118=217$,$89+118=207$
$52+523=574$,$52+523=575$
$661+39=600$,$661+39=700$
$17+782=809$,$17+782=799$
$938+57=1005,$938+57=995$
$81+213=394$,$81+213=294$
$389+27=316$,$389+27=416$
$945+51=1066,$945+51=996$
$726+62=888$,$726+62=788$
$271+88=358$,$271+88=359$
$391+22=312$,$391+22=413$
$75+518=503$,$75+518=593$
$824+71=995$,$824+71=895$
$122+68=290$,$122+68=190$
$523+69=692$,$523+69=592$
$35+189=214$,$35+189=224$
$909+83=1082,$909+83=992$
