67184/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.2, 'block_size': 1024, 'batch_size': 12, 'test_batch_size': 2048, 'max_iters': 6000, 'eval_interval': 100, 'min_lr': 0.0001, 'max_lr': 0.001, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 3, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'plain_addition_dollar_signs_true_3_resampled'}
$336+63=499$,$336+63=399$
$68+607=775$,$68+607=675$
$83+705=888$,$83+705=788$
$101+84=285$,$101+84=185$
$87+500=697$,$87+500=587$
$19+530=559$,$19+530=549$
$15+414=439$,$15+414=429$
$108+82=280$,$108+82=190$
$267+93=350$,$267+93=360$
$509+51=550$,$509+51=560$
$89+606=795$,$89+606=695$
$27+860=897$,$27+860=887$
$211+78=399$,$211+78=289$
$102+89=291$,$102+89=191$
$85+444=539$,$85+444=529$
$84+808=992$,$84+808=892$
$59+130=199$,$59+130=189$
$72+658=720$,$72+658=730$
$179+20=209$,$179+20=199$
$29+166=295$,$29+166=195$
$27+283=300$,$27+283=310$
$244+64=208$,$244+64=308$
$12+268=270$,$12+268=280$
$86+580=676$,$86+580=666$
$911+18=939$,$911+18=929$
$782+38=810$,$782+38=820$
$667+33=690$,$667+33=700$
$78+490=578$,$78+490=568$
$764+37=701$,$764+37=801$
$54+243=397$,$54+243=297$
$77+400=487$,$77+400=477$
$207+97=204$,$207+97=304$
$78+122=100$,$78+122=200$
$567+42=509$,$567+42=609$
$18+370=498$,$18+370=388$
$98+320=428$,$98+320=418$
$72+529=501$,$72+529=601$
$87+104=291$,$87+104=191$
$735+45=770$,$735+45=780$
$37+730=777$,$37+730=767$
$28+665=793$,$28+665=693$
$90+109=299$,$90+109=199$
$364+51=315$,$364+51=415$
$848+82=920$,$848+82=930$
$763+46=709$,$763+46=809$
