66963/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.2, 'block_size': 1024, 'batch_size': 12, 'test_batch_size': 2048, 'max_iters': 6000, 'eval_interval': 100, 'min_lr': 0.0001, 'max_lr': 0.001, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 0, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'plain_addition_dollar_signs_true_0_resampled'}
$846+751=1697$,$846+751=1597$
$979+319=1398$,$979+319=1298$
$613+990=1503$,$613+990=1603$
$802+758=1550$,$802+758=1560$
$984+814=1898$,$984+814=1798$
$312+690=902$,$312+690=1002$
$529+772=1201$,$529+772=1301$
$792+988=1770$,$792+988=1780$
$892+507=1499$,$892+507=1399$
$984+711=1795$,$984+711=1695$
$993+207=1290$,$993+207=1200$
$480+649=1139$,$480+649=1129$
$922+281=1103$,$922+281=1203$
$280+910=1290$,$280+910=1190$
$921+103=1224$,$921+103=1024$
$918+601=1529$,$918+601=1519$
$818+286=1004$,$818+286=1104$
$605+496=1001$,$605+496=1101$
$392+848=1230$,$392+848=1240$
$537+573=1100$,$537+573=1110$
$810+699=1409$,$810+699=1509$
$953+887=1830$,$953+887=1840$
$280+911=1291$,$280+911=1191$
$851+729=1570$,$851+729=1580$
$986+205=1291$,$986+205=1191$
$821+983=1704$,$821+983=1804$
$572+830=1302$,$572+830=1402$
$992+703=1795$,$992+703=1695$
$676+523=1299$,$676+523=1199$
$711+291=902$,$711+291=1002$
$851+589=1430$,$851+589=1440$
$658+541=1299$,$658+541=1199$
$914+490=1304$,$914+490=1404$
$711+896=1507$,$711+896=1607$
$352+998=1340$,$352+998=1350$
$330+978=1208$,$330+978=1308$
$911+208=1129$,$911+208=1119$
$909+324=1243$,$909+324=1233$
$621+983=1504$,$621+983=1604$
$803+327=1120$,$803+327=1130$
$915+209=1134$,$915+209=1124$
$973+817=1780$,$973+817=1790$
$564+636=1190$,$564+636=1200$
$791+519=1300$,$791+519=1310$
$893+187=1070$,$893+187=1080$
$733+307=1030$,$733+307=1040$
$663+497=1150$,$663+497=1160$
$632+672=1204$,$632+672=1304$
$778+333=1001$,$778+333=1111$
$928+473=1301$,$928+473=1401$
$892+506=1498$,$892+506=1398$
$537+733=1260$,$537+733=1270$
$908+971=1889$,$908+971=1879$
$992+298=1280$,$992+298=1290$
$812+488=1200$,$812+488=1300$
$714+487=1101$,$714+487=1201$
$813+992=1705$,$813+992=1805$
$663+577=1230$,$663+577=1240$
$707+994=1601$,$707+994=1701$
$587+843=1420$,$587+843=1430$
$401+599=990$,$401+599=1000$
$723+378=1001$,$723+378=1101$
$766+839=1505$,$766+839=1605$
$531+569=1000$,$531+569=1100$
$362+798=1150$,$362+798=1160$
$782+408=1180$,$782+408=1190$
$434+866=1200$,$434+866=1300$
$624+477=1001$,$624+477=1101$
$738+358=1196$,$738+358=1096$
$782+838=1610$,$782+838=1620$
$703+927=1620$,$703+927=1630$
$868+334=1102$,$868+334=1202$
$820+482=1202$,$820+482=1302$
$925+475=1300$,$925+475=1400$
$873+197=1060$,$873+197=1070$
$643+751=1494$,$643+751=1394$
$895+303=1298$,$895+303=1198$
$972+978=1940$,$972+978=1950$
$802+348=1140$,$802+348=1150$
$992+578=1560$,$992+578=1570$
$819+983=1702$,$819+983=1802$
$686+331=917$,$686+331=1017$
$520+484=904$,$520+484=1004$
$421+588=909$,$421+588=1009$
$284+855=1149$,$284+855=1139$
$847+373=1210$,$847+373=1220$
$869+921=1780$,$869+921=1790$
