41140/50000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_dollar_signs', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 0, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 50000, 'use_dollar_signs': True, 'name': 'reversed_addition_dollar_signs_true_0'}
$798+799=7851$,$798+799=7951$
$289+897=6711$,$289+897=6811$
$787+701=8741$,$787+701=8841$
$783+888=1661$,$783+888=1761$
$776+806=2751$,$776+806=2851$
$340+944=4811$,$340+944=4821$
$757+959=6161$,$757+959=6171$
$888+703=1851$,$888+703=1951$
$498+799=7821$,$498+799=7921$
$500+501=11$
$,$500+501=1001$
$665+517=2711$,$665+517=2811$
$789+839=7261$,$789+839=8261$
$827+781=7061$,$827+781=8061$
$686+792=8641$,$686+792=8741$
$993+688=1761$,$993+688=1861$
$880+698=8651$,$880+698=8751$
$169+989=7511$,$169+989=8511$
$870+711=1751$,$870+711=1851$
$193+958=711$,$193+958=1511$
$887+792=9661$,$887+792=9761$
$681+790=1641$,$681+790=1741$
$704+405=1111$,$704+405=9011$
$770+411=1711$,$770+411=1811$
$891+291=2711$,$891+291=2811$
$299+782=1701$,$299+782=1801$
$226+905=2311$,$226+905=1311$
$219+829=7401$,$219+829=8401$
$487+595=2711$,$487+595=2801$
$369+702=801$,$369+702=1701$
$785+706=1841$,$785+706=1941$
$576+506=2701$,$576+506=2801$
$605+984=9751$,$605+984=9851$
$814+932=6461$,$814+932=6471$
$860+963=3181$,$860+963=3281$
$724+913=7351$,$724+913=7361$
$700+821=261$,$700+821=1251$
$755+964=9161$,$755+964=9171$
$598+839=6341$,$598+839=7341$
$988+898=6781$,$988+898=6881$
$671+877=8351$,$671+877=8451$
$503+768=8621$,$503+768=1721$
$273+986=9421$,$273+986=9521$
$483+798=1721$,$483+798=1821$
$732+902=4351$,$732+902=4361$
$744+941=5851$,$744+941=5861$
$895+796=1861$,$895+796=1961$
$497+572=9611$,$497+572=9601$
$725+524=521$,$725+524=9421$
$734+984=8161$,$734+984=8171$
$997+991=8791$,$997+991=8891$
$558+928=5841$,$558+928=6841$
$496+570=6611$,$496+570=6601$
$488+536=4211$,$488+536=4201$
$749+692=1431$,$749+692=1441$
$804+919=3261$,$804+919=3271$
$617+764=1731$,$617+764=1831$
$227+851=7701$,$227+851=8701$
$789+619=7041$,$789+619=8041$
$744+968=2161$,$744+968=2171$
$977+111=7801$,$977+111=8801$
$809+859=7661$,$809+859=8661$
$667+415=2701$,$667+415=2801$
$180+902=2701$,$180+902=2801$
$741+998=9361$,$741+998=9371$
$682+461=3311$,$682+461=3411$
$675+816=1841$,$675+816=1941$
$882+897=9671$,$882+897=9771$
$139+930=8601$,$139+930=9601$
$689+598=7721$,$689+598=7821$
$960+501=851$,$960+501=1641$
$577+718=4921$,$577+718=5921$
$597+480=7711$,$597+480=7701$
$785+586=1631$,$785+586=1731$
$743+921=4651$,$743+921=4661$
$399+999=8831$,$399+999=8931$
$483+796=9621$,$483+796=9721$
$780+298=8601$,$780+298=8701$
$485+996=1741$,$485+996=1841$
$734+989=3261$,$734+989=3271$
$228+800=7201$,$228+800=8201$
$911+987=8971$,$911+987=8981$
$236+825=2601$,$236+825=1601$
$800+205=5101$,$800+205=5001$
$687+318=4001$,$687+318=5001$
$730+531=621$,$730+531=1621$
$347+956=4031$,$347+956=3031$
$782+596=8631$,$782+596=8731$
$461+921=2731$,$461+921=2831$
$217+831=7401$,$217+831=8401$
$189+899=7801$,$189+899=8801$
$754+891=5451$,$754+891=5461$
$776+595=1631$,$776+595=1731$
$769+940=9061$,$769+940=9071$
$889+709=7951$,$889+709=8951$
$571+602=3721$,$571+602=3711$
$229+979=7021$,$229+979=8021$
$293+898=1811$,$293+898=1911$
$573+886=9441$,$573+886=9541$
$989+879=7681$,$989+879=8681$
$883+198=1701$,$883+198=1801$
$880+521=1931$,$880+521=1041$
$451+585=6311$,$451+585=6301$
$792+299=1801$,$792+299=1901$
$498+598=5911$,$498+598=6901$
$578+693=1621$,$578+693=1721$
$419+586=5011$,$419+586=5001$
$721+914=5351$,$721+914=5361$
$575+503=8711$,$575+503=8701$
$777+682=9441$,$777+682=9541$
$559+588=6411$,$559+588=7411$
$109+979=7801$,$109+979=8801$
$782+696=8641$,$782+696=8741$
$776+505=1721$,$776+505=1821$
$408+619=6201$,$408+619=7201$
$743+954=7951$,$743+954=7961$
$581+896=7641$,$581+896=7741$
$813+994=7071$,$813+994=7081$
$688+799=7741$,$688+799=7841$
$777+304=1701$,$777+304=1801$
$767+601=7631$,$767+601=8631$
$489+999=8741$,$489+999=8841$
$203+858=7501$,$203+858=1601$
$697+822=9251$,$697+822=9151$
$674+577=1421$,$674+577=1521$
$336+926=3621$,$336+926=2621$
$563+818=1731$,$563+818=1831$
$488+516=4011$,$488+516=4001$
$844+913=7561$,$844+913=7571$
$558+528=5801$,$558+528=6801$
$923+458=8731$,$923+458=1831$
$803+478=831$,$803+478=1821$
$609+789=7931$,$609+789=8931$
$576+905=1741$,$576+905=1841$
$813+930=3461$,$813+930=3471$
$860+921=1771$,$860+921=1871$
$588+498=5811$,$588+498=6801$
$889+899=7871$,$889+899=8871$
$842+549=1831$,$842+549=1931$
$714+995=9061$,$714+995=9071$
$920+721=461$,$920+721=1461$
$903+568=8641$,$903+568=1741$
$978+483=1541$,$978+483=1641$
$483+584=7611$,$483+584=7601$
$675+686=1531$,$675+686=1631$
$773+361=4211$,$773+361=4311$
$749+799=8441$,$749+799=8451$
$670+663=3231$,$670+663=3331$
$784+598=2731$,$784+598=2831$
$829+729=7551$,$829+729=8551$
$972+662=4261$,$972+662=4361$
$841+903=4461$,$841+903=4471$
$908+206=4121$,$908+206=4111$
$428+919=6431$,$428+919=7431$
$293+998=1821$,$293+998=1921$
$829+909=7371$,$829+909=8371$
$269+939=7021$,$269+939=8021$
$588+528=5111$,$588+528=6111$
$994+997=1891$,$994+997=1991$
$913+768=8661$,$913+768=1861$
$277+792=9501$,$277+792=9601$
$964+797=8671$,$964+797=1671$
$666+915=1751$,$666+915=1851$
$767+711=7741$,$767+711=8741$
$499+589=8811$,$499+589=8801$
$727+921=7461$,$727+921=8461$
$746+949=5951$,$746+949=5961$
$880+563=3341$,$880+563=3441$
$720+611=331$,$720+611=1331$
$994+887=1781$,$994+887=1881$
$471+810=1721$,$471+810=1821$
$898+698=6851$,$898+698=6951$
$288+798=6701$,$288+798=6801$
$930+821=571$,$930+821=1571$
$740+949=9851$,$740+949=9861$
$273+888=1511$,$273+888=1611$
$818+519=6331$,$818+519=7331$
$610+801=1341$,$610+801=1141$
$483+895=8631$,$483+895=8731$
$980+697=7661$,$980+697=7761$
$499+782=1721$,$499+782=1821$
$575+676=1421$,$575+676=1521$
$770+817=7751$,$770+817=7851$
$731+961=2951$,$731+961=2961$
$772+570=2331$,$772+570=2431$
$767+815=2751$,$767+815=2851$
$399+997=6831$,$399+997=6931$
$558+589=6411$,$558+589=7411$
$732+911=3451$,$732+911=3461$
$508+809=6131$,$508+809=7131$
$598+819=6141$,$598+819=7141$
$767+871=7361$,$767+871=8361$
$897+828=5281$,$897+828=5271$
$479+902=1731$,$479+902=1831$
$960+131=11$
$,$960+131=1901$
$682+799=1741$,$682+799=1841$
$558+949=6051$,$558+949=7051$
$865+316=1711$,$865+316=1811$
$707+678=4831$,$707+678=5831$
$586+509=4901$,$586+509=5901$
$479+573=2511$,$479+573=2501$
$725+990=5161$,$725+990=5171$
$819+639=7541$,$819+639=8541$
$783+818=1951$,$783+818=1061$
$744+930=4751$,$744+930=4761$
$998+893=1881$,$998+893=1981$
$478+693=1611$,$478+693=1711$
$833+943=6761$,$833+943=6771$
$893+198=1801$,$893+198=1901$
$475+596=1601$,$475+596=1701$
$482+597=9711$,$482+597=9701$
$579+582=1511$,$579+582=1611$
$679+998=7661$,$679+998=7761$
$784+895=9661$,$784+895=9761$
$783+618=1931$,$783+618=1041$
$827+741=7651$,$827+741=8651$
$580+701=1731$,$580+701=1821$
$587+708=4921$,$587+708=5921$
$732+912=4451$,$732+912=4461$
$581+613=4921$,$581+613=4911$
$711+923=4351$,$711+923=4361$
$784+792=6651$,$784+792=6751$
$781+811=2851$,$781+811=2951$
$705+754=541$,$705+754=9541$
$481+594=5711$,$481+594=5701$
$471+593=4611$,$471+593=4601$
$881+562=3341$,$881+562=3441$
$578+508=5811$,$578+508=6801$
$781+561=2331$,$781+561=2431$
$806+665=1641$,$806+665=1741$
$782+786=8551$,$782+786=8651$
$985+150=5211$,$985+150=5311$
$685+592=7621$,$685+592=7721$
$711+912=3251$,$711+912=3261$
$478+585=3611$,$478+585=3601$
$785+806=1851$,$785+806=1951$
$714+994=8061$,$714+994=8071$
$465+824=9721$,$465+824=9821$
$972+776=8371$,$972+776=8471$
$734+955=9851$,$734+955=9861$
$707+968=4761$,$707+968=5761$
$483+893=6631$,$483+893=6731$
$326+806=3311$,$326+806=2311$
$775+416=1811$,$775+416=1911$
$786+282=8501$,$786+282=8601$
$778+381=9411$,$778+381=9511$
$666+716=2731$,$666+716=2831$
$681+500=1711$,$681+500=1811$
$671+770=1341$,$671+770=1441$
$673+388=1501$,$673+388=1601$
$671+777=8341$,$671+777=8441$
$518+508=5201$,$518+508=6201$
$719+959=7761$,$719+959=8761$
$326+905=2321$,$326+905=1321$
$715+911=6251$,$715+911=6261$
$276+892=8511$,$276+892=8611$
$837+816=4561$,$837+816=3561$
$769+939=7071$,$769+939=8071$
$623+548=8611$,$623+548=1711$
$711+933=4451$,$711+933=4461$
$772+679=1441$,$772+679=1541$
$752+967=9161$,$752+967=9171$
$780+762=2351$,$780+762=2451$
$753+951=4061$,$753+951=4071$
$780+411=1811$,$780+411=1911$
$437+936=4731$,$437+936=3731$
$427+582=9011$,$427+582=9001$
$784+995=9671$,$784+995=9771$
$482+797=9621$,$482+797=9721$
$780+611=1831$,$780+611=1931$
$669+639=7031$,$669+639=8031$
$171+890=1501$,$171+890=1601$
$183+968=511$,$183+968=1511$
$479+703=2711$,$479+703=2811$
$973+186=9411$,$973+186=9511$
$525+584=11$
$,$525+584=9011$
$740+921=661$,$740+921=1661$
$771+812=3751$,$771+812=3851$
$982+799=1771$,$982+799=1871$
$986+895=1781$,$986+895=1881$
$730+952=2851$,$730+952=2861$
$883+661=4351$,$883+661=4451$
$588+819=6041$,$588+819=7041$
$525+784=131$,$525+784=9031$
$939+129=7601$,$939+129=8601$
$643+951=4941$,$643+951=4951$
$379+692=1601$,$379+692=1701$
$310+922=2311$,$310+922=2321$
$729+809=7351$,$729+809=8351$
