28988/50000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_dollar_signs', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 2, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 50000, 'use_dollar_signs': False, 'name': 'reversed_addition_dollar_signs_false_2'}
72+261=320,72+261=333
650+85=527,650+85=537
37+749=680,37+749=687
49+326=568,49+326=573
436+98=434,436+98=435
59+294=359,59+294=353
11+206=713,11+206=712
440+99=934,440+99=935
45+178=324,45+178=322
689+87=667,689+87=677
38+266=404,38+266=403
95+529=420,95+529=426
166+32=862,166+32=891
157+87=472,157+87=442
29+387=624,29+387=614
802+47=947,802+47=948
63+251=418,63+251=413
14+760=470,14+760=477
181+64=572,181+64=542
84+734=810,84+734=818
495+82=784,495+82=775
29+905=434,29+905=439
422+37=94,422+37=954
86+345=13,86+345=134
887+85=289,887+85=279
41+130=158,41+130=171
85+103=899,85+103=881
48+828=674,48+828=678
69+678=757,69+678=747
57+101=859,57+101=851
186+48=43,186+48=432
21+770=189,21+770=197
40+738=874,40+738=877
206+12=822,206+12=812
823+53=668,823+53=678
94+660=460,94+660=457
35+501=639,35+501=635
18+214=231,18+214=232
41+873=414,41+873=419
74+733=700,74+733=708
597+71=846,597+71=866
973+37=19,973+37=101
740+27=757,740+27=767
54+840=490,54+840=498
13+997=19,13+997=101
68+136=408,68+136=402
54+868=214,54+868=229
83+240=321,83+240=323
40+471=110,40+471=115
322+79=114,322+79=104
87+817=404,87+817=409
63+403=669,63+403=664
97+588=589,97+588=586
74+278=251,74+278=253
61+284=541,61+284=543
541+96=735,541+96=736
24+880=404,24+880=409
70+211=189,70+211=182
20+573=391,20+573=395
351+14=553,351+14=563
63+623=687,63+623=686
89+839=823,89+839=829
39+449=889,39+449=884
24+501=521,24+501=525
19+248=751,19+248=762
68+833=108,68+833=109
66+880=640,66+880=649
60+634=49,60+634=496
86+640=621,86+640=627
63+506=967,63+506=965
281+83=473,281+83=463
39+888=723,39+888=729
21+235=649,21+235=652
83+102=591,83+102=581
23+390=313,23+390=314
14+791=501,14+791=508
75+778=350,75+778=358
59+417=673,59+417=674
96+519=511,96+519=516
28+455=389,28+455=384
729+60=997,729+60=987
55+860=510,55+860=519
46+733=970,46+733=977
520+33=375,520+33=355
21+650=177,21+650=176
860+71=132,860+71=139
84+475=952,84+475=955
616+81=786,616+81=796
23+376=99,23+376=993
784+52=627,784+52=638
34+715=940,34+715=947
85+233=811,85+233=813
550+95=545,550+95=546
34+797=130,34+797=138
52+700=250,52+700=257
945+40=579,945+40=589
79+455=424,79+455=435
41+811=250,41+811=258
556+65=226,556+65=126
961+20=159,961+20=189
56+198=459,56+198=452
751+61=617,751+61=218
29+175=489,29+175=402
88+139=721,88+139=722
440+29=944,440+29=964
68+701=961,68+701=967
171+45=664,171+45=612
90+684=478,90+684=477
27+889=613,27+889=619
47+618=567,47+618=566
23+132=542,23+132=551
511+68=97,511+68=975
75+256=139,75+256=133
80+408=891,80+408=884
256+63=912,256+63=913
887+88=589,887+88=579
53+175=828,53+175=822
584+80=455,584+80=466
76+833=902,76+833=909
361+75=693,361+75=634
29+256=574,29+256=582
704+58=217,704+58=267
231+27=94,231+27=852
65+388=351,65+388=354
76+543=911,76+543=916
697+14=147,697+14=117
342+86=814,342+86=824
38+438=678,38+438=674
30+558=889,30+558=885
68+675=317,68+675=347
42+236=874,42+236=872
30+302=239,30+302=233
14+504=811,14+504=815
60+834=491,60+834=498
451+32=484,451+32=384
54+444=899,54+444=894
66+503=96,66+503=965
24+573=799,24+573=795
458+77=525,458+77=535
20+739=951,20+739=957
844+48=299,844+48=298
520+27=755,520+27=745
62+566=821,62+566=826
89+479=864,89+479=865
586+55=156,586+55=146
761+84=547,761+84=548
42+469=110,42+469=115
130+92=242,130+92=222
43+290=334,43+290=333
125+76=191,125+76=102
764+85=947,764+85=948
76+809=584,76+809=588
90+891=188,90+891=189
20+144=451,20+144=461
32+192=428,32+192=422
64+324=889,64+324=883
786+81=757,786+81=768
17+652=96,17+652=966
98+249=731,98+249=743
63+556=911,63+556=916
806+87=388,806+87=398
53+482=520,53+482=535
26+233=949,26+233=952
80+668=841,80+668=847
71+641=211,71+641=217
31+632=467,31+632=366
21+384=599,21+384=504
798+24=238,798+24=228
884+54=830,884+54=839
70+816=689,70+816=688
260+27=713,260+27=782
80+183=369,80+183=362
302+64=683,302+64=663
919+80=99,919+80=999
227+20=732,227+20=742
351+16=753,351+16=763
18+254=279,18+254=272
431+96=925,431+96=725
454+57=119,454+57=115
600+99=966,600+99=996
61+528=989,61+528=985
789+60=947,789+60=948
606+75=176,606+75=186
839+35=488,839+35=478
456+45=109,456+45=105
88+446=434,88+446=435
35+201=639,35+201=632
916+13=939,916+13=929
84+388=288,84+388=274
54+590=440,54+590=446
672+32=496,672+32=407
475+88=364,475+88=365
993+57=150,993+57=501
471+98=96,471+98=965
35+311=649,35+311=643
939+24=349,939+24=369
28+389=711,28+389=714
925+23=839,925+23=849
46+669=510,46+669=517
601+86=656,601+86=786
24+864=889,24+864=888
687+92=97,687+92=977
706+63=957,706+63=967
26+585=101,26+585=116
58+426=489,58+426=484
124+67=181,124+67=191
70+182=258,70+182=252
24+747=178,24+747=177
12+702=411,12+702=417
281+45=625,281+45=623
45+721=650,45+721=667
84+731=510,84+731=518
20+284=404,20+284=403
784+77=167,784+77=168
39+562=159,39+562=106
10+779=989,10+779=987
28+943=168,28+943=179
58+300=859,58+300=853
491+70=185,491+70=165
16+243=94,16+243=952
185+92=782,185+92=772
422+17=93,422+17=934
22+937=941,22+937=959
162+44=661,162+44=602
832+11=349,832+11=348
75+229=401,75+229=403
345+59=493,345+59=404
343+88=133,343+88=134
136+88=412,136+88=422
64+762=610,64+762=628
781+42=327,781+42=328
59+542=140,59+542=106
95+449=444,95+449=445
269+75=413,269+75=443
303+39=253,303+39=243
20+618=831,20+618=836
871+33=404,871+33=409
583+83=665,583+83=666
744+98=247,744+98=248
70+708=874,70+708=877
23+946=959,23+946=969
459+69=815,459+69=825
12+595=701,12+595=706
954+40=400,954+40=499
15+779=491,15+779=497
308+87=614,308+87=593
89+446=534,89+446=535
69+789=857,69+789=858
71+822=399,71+822=398
50+413=369,50+413=364
66+470=631,66+470=635
28+394=222,28+394=224
768+74=219,768+74=248
22+504=621,22+504=625
82+375=752,82+375=754
547+48=594,547+48=595
75+359=420,75+359=434
815+14=948,815+14=928
57+231=889,57+231=882
704+41=517,704+41=547
99+208=744,99+208=703
89+512=101,89+512=106
54+653=700,54+653=707
824+69=388,824+69=398
45+593=834,45+593=836
33+626=947,33+626=956
74+747=121,74+747=128
45+381=621,45+381=624
341+15=643,341+15=653
78+389=761,78+389=764
870+74=442,870+74=449
39+903=244,39+903=249
535+36=185,535+36=175
97+589=688,97+589=686
45+834=977,45+834=978
76+235=101,76+235=113
28+268=699,28+268=692
699+83=257,699+83=287
50+726=674,50+726=677
40+503=347,40+503=345
593+82=585,593+82=576
36+266=208,36+266=203
909+10=929,909+10=919
18+549=769,18+549=765
20+271=199,20+271=192
776+63=937,776+63=938
86+289=578,86+289=573
70+711=189,70+711=187
489+94=394,489+94=385
70+325=599,70+325=593
83+726=901,83+726=908
66+858=427,66+858=429
89+429=811,89+429=815
304+80=493,304+80=483
80+156=639,80+156=632
20+111=132,20+111=131
968+20=899,968+20=889
528+76=485,528+76=406
869+68=719,869+68=739
550+85=535,550+85=536
155+70=561,155+70=522
257+31=862,257+31=882
451+18=95,451+18=964
33+772=504,33+772=508
80+874=450,80+874=459
34+823=750,34+823=758
16+251=759,16+251=762
91+864=550,91+864=559
67+478=544,67+478=545
525+38=375,525+38=365
57+791=844,57+791=848
509+75=465,509+75=485
61+147=808,61+147=802
49+286=534,49+286=533
92+453=547,92+453=545
65+801=669,65+801=668
99+793=299,99+793=298
32+625=757,32+625=756
589+94=395,589+94=386
195+79=492,195+79=472
49+852=199,49+852=109
61+163=427,61+163=422
341+37=97,341+37=873
790+13=318,790+13=308
57+596=350,57+596=356
63+706=964,63+706=967
460+83=344,460+83=345
69+435=499,69+435=405
958+16=469,958+16=479
193+56=94,193+56=942
308+98=624,308+98=604
63+139=208,63+139=202
54+445=999,54+445=994
54+823=770,54+823=778
18+514=231,18+514=235
107+92=92,107+92=991
27+672=98,27+672=996
10+385=591,10+385=593
501+30=14,501+30=135
129+42=161,129+42=171
697+87=497,697+87=487
552+87=935,552+87=936
51+784=520,51+784=538
134+24=842,134+24=851
81+242=329,81+242=323
609+64=317,609+64=376
64+250=411,64+250=413
453+98=154,453+98=155
756+53=918,756+53=908
85+167=259,85+167=252
71+324=599,71+324=593
89+812=104,89+812=109
37+416=357,37+416=354
82+861=340,82+861=349
63+303=669,63+303=663
55+437=299,55+437=294
47+835=283,47+835=288
101+30=142,101+30=131
641+78=311,641+78=917
209+16=532,209+16=522
19+273=284,19+273=292
46+317=368,46+317=363
95+286=18,95+286=183
44+280=424,44+280=423
78+376=451,78+376=454
48+557=501,48+557=506
72+300=279,72+300=273
446+90=634,446+90=635
524+38=275,524+38=265
90+649=931,90+649=937
85+182=711,85+182=762
68+823=199,68+823=198
41+268=904,41+268=903
33+352=589,33+352=583
31+462=399,31+462=394
78+507=589,78+507=585
38+223=169,38+223=162
194+49=34,194+49=342
772+82=457,772+82=458
86+165=15,86+165=152
38+504=249,38+504=245
324+59=393,324+59=383
64+438=201,64+438=205
628+47=586,628+47=576
84+115=999,84+115=991
30+513=347,30+513=345
81+273=459,81+273=453
27+375=290,27+375=204
580+94=475,580+94=476
76+115=189,76+115=191
311+94=523,311+94=504
23+179=204,23+179=202
38+633=177,38+633=176
645+87=217,645+87=237
65+219=489,65+219=482
34+309=344,34+309=343
436+33=96,436+33=964
830+49=878,830+49=978
30+345=578,30+345=573
64+545=900,64+545=906
261+42=383,261+42=303
30+849=979,30+849=978
122+83=592,122+83=502
37+712=944,37+712=947
71+317=889,71+317=883
703+44=757,703+44=747
283+51=423,283+51=433
94+361=558,94+361=554
73+533=601,73+533=606
92+539=130,92+539=136
43+828=174,43+828=178
42+882=424,42+882=429
484+88=284,484+88=275
28+201=921,28+201=922
47+180=724,47+180=722
544+85=925,544+85=926
760+75=537,760+75=538
62+812=477,62+812=478
23+442=559,23+442=564
72+447=901,72+447=915
33+671=401,33+671=407
650+33=307,650+33=386
285+66=163,285+66=153
58+369=710,58+369=724
81+187=809,81+187=862
751+34=507,751+34=587
195+91=683,195+91=682
68+260=821,68+260=823
86+216=204,86+216=203
88+728=611,88+728=618
310+38=84,310+38=843
82+210=299,82+210=292
47+509=650,47+509=655
38+449=789,38+449=784
20+372=299,20+372=293
90+216=604,90+216=603
81+223=404,81+223=403
63+382=540,63+382=544
93+243=631,93+243=633
41+673=410,41+673=417
55+269=424,55+269=423
165+61=672,165+61=622
123+50=361,123+50=371
79+354=331,79+354=334
29+146=569,29+146=571
575+39=426,575+39=416
179+23=291,179+23=202
42+213=454,42+213=552
593+69=256,593+69=266
43+385=823,43+385=824
440+97=734,440+97=735
70+177=74,70+177=742
988+22=19,988+22=101
113+54=751,113+54=761
357+45=293,357+45=204
46+128=474,46+128=471
38+621=941,38+621=956
58+126=489,58+126=481
166+56=212,166+56=222
81+406=791,81+406=784
601+57=817,601+57=856
23+223=649,23+223=642
504+41=540,504+41=545
142+34=652,142+34=671
20+287=704,20+287=703
22+625=747,22+625=746
913+25=849,913+25=839
570+32=216,570+32=206
91+803=499,91+803=498
939+20=929,939+20=959
684+85=957,684+85=967
50+236=689,50+236=682
706+85=187,706+85=197
51+892=344,51+892=349
81+880=160,81+880=169
138+51=971,138+51=981
80+757=739,80+757=738
49+243=249,49+243=292
31+551=389,31+551=285
46+826=274,46+826=278
490+18=884,490+18=805
45+464=901,45+464=905
767+57=418,767+57=428
29+322=131,29+322=153
147+37=462,147+37=481
49+887=638,49+887=639
394+25=924,394+25=914
133+44=761,133+44=771
85+379=468,85+379=464
68+580=841,68+580=846
66+208=479,66+208=472
544+83=725,544+83=726
65+103=869,65+103=861
295+74=973,295+74=963
687+84=167,687+84=177
752+91=357,752+91=348
502+12=425,502+12=415
769+65=418,769+65=438
28+221=93,28+221=942
417+97=424,417+97=415
23+581=401,23+581=406
357+12=95,357+12=963
10+549=95,10+549=955
19+246=551,19+246=562
677+66=317,677+66=347
59+479=844,59+479=835
471+94=569,471+94=565
375+48=314,375+48=324
78+494=278,78+494=275
485+52=725,485+52=735
62+834=690,62+834=698
831+30=318,831+30=168
258+20=862,258+20=872
62+606=867,62+606=866
87+512=991,87+512=995
43+542=589,43+542=585
695+33=837,695+33=827
259+42=893,259+42=103
547+95=245,547+95=246
84+433=711,84+433=715
75+496=178,75+496=175
32+467=99,32+467=994
87+417=404,87+417=405
500+26=635,500+26=625
450+79=914,450+79=925
47+495=242,47+495=245
90+237=724,90+237=723
62+310=279,62+310=273
88+753=144,88+753=148
45+711=654,45+711=657
987+53=19,987+53=401
782+49=128,782+49=138
17+452=95,17+452=964
277+46=324,277+46=323
11+848=951,11+848=958
254+59=303,254+59=313
63+110=377,63+110=371
54+293=748,54+293=743
52+866=814,52+866=819
303+46=963,303+46=943
