69973/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.0, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 5000, 'eval_interval': 100, 'min_lr': 5e-05, 'max_lr': 0.0005, 'warmup_iters': 150, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 3, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'plain_addition_dollar_signs_true_3_resampled'}
$41+132=174$,$41+132=173$
$20+882=802$,$20+882=902$
$65+232=397$,$65+232=297$
$35+494=429$,$35+494=529$
$83+717=700$,$83+717=800$
$665+74=738$,$665+74=739$
$58+442=400$,$58+442=500$
$14+593=507$,$14+593=607$
$493+93=576$,$493+93=586$
$645+73=717$,$645+73=718$
$43+623=566$,$43+623=666$
$673+34=706$,$673+34=707$
$59+239=398$,$59+239=298$
$72+658=720$,$72+658=730$
$179+20=190$,$179+20=199$
$74+120=294$,$74+120=194$
$244+38=272$,$244+38=282$
$66+230=396$,$66+230=296$
$29+166=295$,$29+166=195$
$882+97=969$,$882+97=979$
$592+97=679$,$592+97=689$
$35+623=558$,$35+623=658$
$249+37=287$,$249+37=286$
$91+842=833$,$91+842=933$
$187+98=275$,$187+98=285$
$451+88=549$,$451+88=539$
$92+779=861$,$92+779=871$
$670+39=719$,$670+39=709$
$737+86=824$,$737+86=823$
$14+616=629$,$14+616=630$
$33+545=478$,$33+545=578$
$764+64=827$,$764+64=828$
$98+808=806$,$98+808=906$
$764+37=701$,$764+37=801$
$207+97=294$,$207+97=304$
$704+97=701$,$704+97=801$
$729+36=766$,$729+36=765$
$174+16=180$,$174+16=190$
$756+42=898$,$756+42=798$
$27+302=320$,$27+302=329$
$607+33=630$,$607+33=640$
$640+79=729$,$640+79=719$
$735+45=789$,$735+45=780$
