68674/75000
{'task': 'reversed_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.0, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 5000, 'eval_interval': 100, 'min_lr': 5e-05, 'max_lr': 0.0005, 'warmup_iters': 150, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 4, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': False, 'resample_data': True, 'name': 'reversed_addition_dollar_signs_false_4_resampled'}
67+264=139,67+264=133
90+328=815,90+328=814
21+607=820,21+607=826
12+235=745,12+235=742
61+490=152,61+490=155
31+337=865,31+337=863
14+668=287,14+668=286
15+164=979,15+164=971
23+469=299,23+469=294
84+277=165,84+277=163
48+407=555,48+407=554
24+869=396,24+869=398
27+878=508,27+878=509
18+219=735,18+219=732
69+707=676,69+707=677
55+226=189,55+226=182
74+518=299,74+518=295
35+845=086,35+845=088
57+767=425,57+767=428
24+716=042,24+716=047
49+202=155,49+202=152
65+534=999,65+534=995
95+543=833,95+543=836
90+684=475,90+684=477
15+972=785,15+972=789
26+743=965,26+743=967
88+716=401,88+716=408
70+922=296,70+922=299
41+405=645,41+405=644
41+416=755,41+416=754
101+91=391,101+91=291
31+173=408,31+173=402
91+237=825,91+237=823
81+826=705,81+826=709
28+480=808,28+480=805
43+827=076,43+827=078
66+915=186,66+915=189
93+859=255,93+859=259
14+374=889,14+374=883
70+538=805,70+538=806
45+457=208,45+457=205
41+715=652,41+715=657
48+439=789,48+439=784
99+257=655,99+257=653
21+319=048,21+319=043
24+413=730,24+413=734
59+120=975,59+120=971
75+417=299,75+417=294
86+300=685,86+300=683
22+856=875,22+856=878
62+392=455,62+392=454
92+216=808,92+216=803
14+426=045,14+426=044
49+878=725,49+878=729
75+705=086,75+705=087
33+434=765,33+434=764
99+303=205,99+303=204
76+871=745,76+871=749
67+387=455,67+387=454
74+225=999,74+225=992
25+373=899,25+373=893
72+859=135,72+859=139
15+949=465,15+949=469
38+462=001,38+462=005
79+632=111,79+632=117
84+572=655,84+572=656
36+312=849,36+312=843
19+343=265,19+343=263
78+511=989,78+511=985
23+743=662,23+743=667
46+757=305,46+757=308
77+899=675,77+899=679
35+229=469,35+229=462
29+300=925,29+300=923
24+313=735,24+313=733
20+292=215,20+292=213
89+253=245,89+253=243
60+126=689,60+126=681
18+514=232,18+514=235
93+208=101,93+208=103
36+882=818,36+882=819
33+812=542,33+812=548
77+699=675,77+699=677
34+322=655,34+322=653
68+623=197,68+623=196
70+813=386,70+813=388
28+143=179,28+143=171
40+939=975,40+939=979
47+223=079,47+223=072
40+423=366,40+423=364
85+350=535,85+350=534
97+361=855,97+361=854
40+727=762,40+727=767
12+863=575,12+863=578
87+809=699,87+809=698
90+900=091,90+900=099
82+450=231,82+450=235
56+145=108,56+145=102
89+118=705,89+118=702
52+523=576,52+523=575
75+180=555,75+180=552
42+237=979,42+237=972
38+341=975,38+341=973
17+782=995,17+782=997
23+647=070,23+647=076
44+844=885,44+844=888
98+420=816,98+420=815
63+450=311,63+450=315
47+698=548,47+698=547
81+213=499,81+213=492
96+374=075,96+374=074
56+879=538,56+879=539
38+721=956,38+721=957
34+585=917,34+585=916
52+320=276,52+320=273
40+683=322,40+683=327
27+316=345,27+316=343
27+353=089,27+353=083
90+214=408,90+214=403
76+725=101,76+725=108
72+539=111,72+539=116
10+617=720,10+617=726
61+287=847,61+287=843
70+161=131,70+161=132
75+518=399,75+518=395
75+861=635,75+861=639
68+319=789,68+319=783
51+746=796,51+746=797
36+257=399,36+257=392
51+757=806,51+757=808
23+351=479,23+351=473
54+863=715,54+863=719
61+799=062,61+799=068
74+395=966,74+395=964
65+786=155,65+786=158
34+217=155,34+217=152
26+559=580,26+559=585
35+189=421,35+189=422
50+125=579,50+125=571
97+197=499,97+197=492
33+330=366,33+330=363
47+764=115,47+764=118
29+822=152,29+822=158
22+898=025,22+898=029
54+187=141,54+187=142
94+574=865,94+574=866
28+968=695,28+968=699
71+551=221,71+551=226
12+940=251,12+940=259
57+593=055,57+593=056
21+551=270,21+551=275
58+836=496,58+836=498
94+818=215,94+818=219
29+882=115,29+882=119
14+474=889,14+474=884
26+105=135,26+105=131
96+270=665,96+270=663
20+182=201,20+182=202
42+508=052,42+508=055
52+286=839,52+286=833
92+232=428,92+232=423
63+486=946,63+486=945
45+589=435,45+589=436
15+763=875,15+763=877
13+901=415,13+901=419
95+832=725,95+832=729
59+631=099,59+631=096
57+658=515,57+658=517
79+175=455,79+175=452
89+894=385,89+894=389
44+554=899,44+554=895
43+435=879,43+435=874
31+276=708,31+276=703
63+709=276,63+709=277
66+187=355,66+187=352
66+385=155,66+385=154
32+308=045,32+308=043
24+381=505,24+381=504
62+841=301,62+841=309
29+307=635,29+307=633
60+329=989,60+329=983
79+374=355,79+374=354
86+275=165,86+275=163
93+697=096,93+697=097
84+642=625,84+642=627
13+960=375,13+960=379
98+254=255,98+254=253
40+137=779,40+137=771
91+120=111,91+120=112
21+898=915,21+898=919
91+479=076,91+479=075
66+412=879,66+412=874
11+458=960,11+458=964
54+303=755,54+303=753
49+531=087,49+531=085
92+407=999,92+407=994
23+783=605,23+783=608
38+817=555,38+817=558
36+288=425,36+288=423
72+587=955,72+587=956
91+192=385,91+192=382
51+401=255,51+401=254
72+129=101,72+129=102
40+762=201,40+762=208
85+268=355,85+268=353
75+780=555,75+780=558
20+758=875,20+758=877
12+428=045,12+428=044
94+656=052,94+656=057
46+710=652,46+710=657
38+156=499,38+156=491
16+237=355,16+237=352
69+910=975,69+910=979
84+640=421,84+640=427
57+619=677,57+619=676
80+304=489,80+304=483
90+744=435,90+744=438
60+716=672,60+716=677
88+356=445,88+356=444
56+902=855,56+902=859
23+757=080,23+757=087
66+290=655,66+290=653
63+637=001,63+637=007
78+505=387,78+505=385
67+178=541,67+178=542
56+756=215,56+756=218
58+346=405,58+346=404
19+347=665,19+347=663
68+762=031,68+762=038
19+573=299,19+573=295
96+862=855,96+862=859
85+521=605,85+521=606
74+411=589,74+411=584
47+178=525,47+178=522
25+826=152,25+826=158
64+272=639,64+272=633
13+413=625,13+413=624
22+866=885,22+866=888
85+298=389,85+298=383
31+113=445,31+113=441
56+282=839,56+282=833
45+120=569,45+120=561
45+641=680,45+641=686
31+263=499,31+263=492
67+932=995,67+932=999
93+811=405,93+811=409
79+678=755,79+678=757
44+823=762,44+823=768
79+127=601,79+127=602
45+634=975,45+634=976
59+337=699,59+337=693
35+237=279,35+237=272
26+774=001,26+774=008
51+431=287,51+431=284
13+607=022,13+607=026
36+719=552,36+719=557
91+374=565,91+374=564
93+203=699,93+203=692
77+290=765,77+290=763
28+149=779,28+149=771
19+231=055,19+231=052
26+397=325,26+397=324
68+155=325,68+155=322
48+422=079,48+422=074
15+745=062,15+745=067
17+478=599,17+478=594
88+358=645,88+358=644
42+830=270,42+830=278
38+694=238,38+694=237
23+323=645,23+323=643
78+161=935,78+161=932
68+107=579,68+107=571
29+561=099,29+561=095
79+798=775,79+798=778
49+135=489,49+135=481
64+720=486,64+720=487
54+211=569,54+211=562
74+726=001,74+726=008
93+391=485,93+391=484
96+552=845,96+552=846
85+299=489,85+299=483
14+888=208,14+888=209
77+263=045,77+263=043
32+159=199,32+159=191
92+611=301,92+611=307
59+201=065,59+201=062
93+370=365,93+370=364
50+771=121,50+771=128
36+917=355,36+917=359
96+488=487,96+488=485
25+351=679,25+351=673
84+496=086,84+496=085
48+852=001,48+852=009
34+568=201,34+568=206
36+928=465,36+928=469
72+363=535,72+363=534
24+390=415,24+390=414
77+682=955,77+682=957
86+687=375,86+687=377
22+400=225,22+400=224
46+819=562,46+819=568
91+877=865,91+877=869
33+147=089,33+147=081
88+756=445,88+756=448
36+368=408,36+368=404
28+638=665,28+638=666
29+707=635,29+707=637
48+115=365,48+115=361
26+484=012,26+484=015
83+414=799,83+414=794
42+449=199,42+449=194
93+589=287,93+589=286
18+255=379,18+255=372
62+310=276,62+310=273
28+923=155,28+923=159
39+677=618,39+677=617
71+212=389,71+212=382
62+132=499,62+132=491
45+599=445,45+599=446
54+216=079,54+216=072
37+460=799,37+460=794
55+475=032,55+475=035
23+842=562,23+842=568
41+814=552,41+814=558
98+624=225,98+624=227
16+946=265,16+946=269
77+248=525,77+248=523
25+460=585,25+460=584
52+133=589,52+133=581
79+846=525,79+846=529
81+238=918,81+238=913
48+405=355,48+405=354
83+643=625,83+643=627
34+186=028,34+186=022
30+550=083,30+550=085
80+192=271,80+192=272
54+781=535,54+781=538
74+509=387,74+509=385
84+308=299,84+308=293
49+339=889,49+339=883
61+583=445,61+583=446
59+624=387,59+624=386
60+699=955,60+699=957
63+380=342,63+380=344
12+982=495,12+982=499
48+298=641,48+298=643
61+650=111,61+650=117
64+416=087,64+416=084
56+357=318,56+357=314
94+738=235,94+738=238
25+660=585,25+660=586
70+892=261,70+892=269
99+682=186,99+682=187
50+677=725,50+677=727
60+927=786,60+927=789
93+571=465,93+571=466
44+155=999,44+155=991
