69671/75000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_resampled', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'dropout': 0.0, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 5000, 'eval_interval': 100, 'min_lr': 5e-05, 'max_lr': 0.0005, 'warmup_iters': 150, 'lr_decay_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'seed': 2, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 75000, 'use_dollar_signs': True, 'resample_data': True, 'name': 'plain_addition_dollar_signs_true_2_resampled'}
$147+953=1000$,$147+953=1100$
$363+998=1461$,$363+998=1361$
$378+929=1407$,$378+929=1307$
$719+680=1499$,$719+680=1399$
$349+988=1437$,$349+988=1337$
$152+851=903$,$152+851=1003$
$387+925=1412$,$387+925=1312$
$312+916=1328$,$312+916=1228$
$389+994=1483$,$389+994=1383$
$308+890=1298$,$308+890=1198$
$230+974=1104$,$230+974=1204$
$382+729=1211$,$382+729=1111$
$339+692=1131$,$339+692=1031$
$377+919=1396$,$377+919=1296$
$861+538=1499$,$861+538=1399$
$373+925=1398$,$373+925=1298$
$482+611=1193$,$482+611=1093$
$339+989=1428$,$339+989=1328$
$373+850=1323$,$373+850=1223$
$329+761=1190$,$329+761=1090$
$509+890=1499$,$509+890=1399$
$397+914=1511$,$397+914=1311$
$369+952=1421$,$369+952=1321$
$241+765=906$,$241+765=1006$
$603+588=1291$,$603+588=1191$
$221+987=1108$,$221+987=1208$
$376+920=1396$,$376+920=1296$
$370+950=1420$,$370+950=1320$
$503+696=1299$,$503+696=1199$
$520+485=905$,$520+485=1005$
$116+884=900$,$116+884=1000$
$358+998=1456$,$358+998=1356$
$388+907=1395$,$388+907=1295$
$157+844=901$,$157+844=1001$
$496+814=1410$,$496+814=1310$
$785+909=1794$,$785+909=1694$
$396+914=1510$,$396+914=1310$
$351+980=1431$,$351+980=1331$
$464+917=1481$,$464+917=1381$
$148+860=908$,$148+860=1008$
$370+929=1399$,$370+929=1299$
$323+920=1343$,$323+920=1243$
$487+925=1512$,$487+925=1412$
$336+918=1354$,$336+918=1254$
$820+784=1504$,$820+784=1604$
$497+912=1609$,$497+912=1409$
$459+933=1492$,$459+933=1392$
$328+912=1340$,$328+912=1240$
$360+939=1399$,$360+939=1299$
$215+786=901$,$215+786=1001$
$333+919=1352$,$333+919=1252$
$385+698=1183$,$385+698=1083$
$341+904=1345$,$341+904=1245$
$489+920=1509$,$489+920=1409$
$381+713=1194$,$381+713=1094$
$130+872=902$,$130+872=1002$
$358+990=1448$,$358+990=1348$
$732+968=1600$,$732+968=1700$
$339+902=1341$,$339+902=1241$
$378+920=1398$,$378+920=1298$
$316+912=1328$,$316+912=1228$
$469+621=1190$,$469+621=1090$
$349+997=1446$,$349+997=1346$
$333+912=1345$,$333+912=1245$
$132+976=1008$,$132+976=1108$
$387+920=1407$,$387+920=1307$
$305+700=1105$,$305+700=1005$
$484+915=1499$,$484+915=1399$
$244+959=1103$,$244+959=1203$
$489+999=1588$,$489+999=1488$
$696+903=1699$,$696+903=1599$
$375+994=1469$,$375+994=1369$
$384+908=1392$,$384+908=1292$
$136+872=908$,$136+872=1008$
$331+905=1336$,$331+905=1236$
$372+800=1272$,$372+800=1172$
$488+903=1491$,$488+903=1391$
$356+799=1255$,$356+799=1155$
$144+865=909$,$144+865=1009$
$301+794=1195$,$301+794=1095$
$382+815=1297$,$382+815=1197$
$327+907=1334$,$327+907=1234$
$388+990=1478$,$388+990=1378$
$109+895=904$,$109+895=1004$
$124+977=1001$,$124+977=1101$
$228+776=904$,$228+776=1004$
$488+922=1510$,$488+922=1410$
$398+995=1493$,$398+995=1393$
$322+800=1222$,$322+800=1122$
$147+863=910$,$147+863=1010$
$393+922=1415$,$393+922=1315$
$324+920=1344$,$324+920=1244$
$333+698=1131$,$333+698=1031$
$595+918=1613$,$595+918=1513$
$492+816=1408$,$492+816=1308$
$372+993=1465$,$372+993=1365$
$224+781=905$,$224+781=1005$
$373+710=1183$,$373+710=1083$
$336+998=1434$,$336+998=1334$
$382+936=1418$,$382+936=1318$
$112+892=904$,$112+892=1004$
$335+798=1233$,$335+798=1133$
$370+829=1299$,$370+829=1199$
$496+914=1510$,$496+914=1410$
$693+399=1192$,$693+399=1092$
$589+907=1596$,$589+907=1496$
$389+940=1429$,$389+940=1329$
$369+822=1291$,$369+822=1191$
$397+909=1406$,$397+909=1306$
$244+757=901$,$244+757=1001$
$155+851=906$,$155+851=1006$
$893+826=1729$,$893+826=1719$
$391+791=1282$,$391+791=1182$
$369+927=1396$,$369+927=1296$
$354+993=1447$,$354+993=1347$
$126+878=904$,$126+878=1004$
$373+860=1333$,$373+860=1233$
$365+907=1372$,$365+907=1272$
$383+929=1412$,$383+929=1312$
$368+998=1466$,$368+998=1366$
$352+910=1362$,$352+910=1262$
$382+698=1180$,$382+698=1080$
$569+830=1499$,$569+830=1399$
$382+899=1381$,$382+899=1281$
$381+817=1298$,$381+817=1198$
$132+972=1004$,$132+972=1104$
$131+882=913$,$131+882=1013$
$388+926=1414$,$388+926=1314$
$930+970=1800$,$930+970=1900$
$362+678=1140$,$362+678=1040$
$385+995=1480$,$385+995=1380$
$134+867=901$,$134+867=1001$
$399+799=1298$,$399+799=1198$
$394+919=1513$,$394+919=1313$
$394+697=1191$,$394+697=1091$
$140+968=1008$,$140+968=1108$
$373+982=1455$,$373+982=1355$
$108+894=902$,$108+894=1002$
$364+970=1434$,$364+970=1334$
$220+984=1104$,$220+984=1204$
$370+916=1386$,$370+916=1286$
$372+935=1407$,$372+935=1307$
$373+977=1450$,$373+977=1350$
$478+918=1496$,$478+918=1396$
$107+897=904$,$107+897=1004$
$364+987=1451$,$364+987=1351$
$888+603=1591$,$888+603=1491$
$110+994=1004$,$110+994=1104$
$374+994=1468$,$374+994=1368$
$346+917=1363$,$346+917=1263$
$324+918=1342$,$324+918=1242$
$325+908=1333$,$325+908=1233$
$119+887=906$,$119+887=1006$
$930+973=1803$,$930+973=1903$
$877+613=1590$,$877+613=1490$
$905+999=1804$,$905+999=1904$
$387+934=1421$,$387+934=1321$
$326+917=1343$,$326+917=1243$
$681+418=1199$,$681+418=1099$
$871+528=1499$,$871+528=1399$
$339+992=1431$,$339+992=1331$
$371+921=1392$,$371+921=1292$
$364+912=1376$,$364+912=1276$
$474+917=1491$,$474+917=1391$
$390+808=1298$,$390+808=1198$
$391+810=1301$,$391+810=1201$
$329+962=1391$,$329+962=1291$
$384+922=1406$,$384+922=1306$
$145+860=905$,$145+860=1005$
$154+947=1001$,$154+947=1101$
$359+999=1458$,$359+999=1358$
$782+416=1298$,$782+416=1198$
$332+902=1334$,$332+902=1234$
$677+914=1691$,$677+914=1591$
$820+887=1607$,$820+887=1707$
$996+403=1499$,$996+403=1399$
$230+870=1000$,$230+870=1100$
$362+961=1423$,$362+961=1323$
$486+925=1511$,$486+925=1411$
$981+609=1690$,$981+609=1590$
$921+179=1000$,$921+179=1100$
$370+921=1391$,$370+921=1291$
$479+998=1577$,$479+998=1477$
$398+625=1123$,$398+625=1023$
$889+609=1598$,$889+609=1498$
$390+916=1406$,$390+916=1306$
$141+874=915$,$141+874=1015$
$487+917=1504$,$487+917=1404$
$588+909=1597$,$588+909=1497$
$327+994=1421$,$327+994=1321$
$343+915=1358$,$343+915=1258$
$986+920=1806$,$986+920=1906$
$620+881=1401$,$620+881=1501$
$142+864=906$,$142+864=1006$
$389+923=1412$,$389+923=1312$
$378+987=1465$,$378+987=1365$
$953+947=1800$,$953+947=1900$
$379+798=1277$,$379+798=1177$
$221+982=1103$,$221+982=1203$
$789+904=1793$,$789+904=1693$
$494+698=1292$,$494+698=1192$
$389+810=1299$,$389+810=1199$
$372+638=1110$,$372+638=1010$
$383+796=1279$,$383+796=1179$
$594+435=1039$,$594+435=1029$
$369+992=1461$,$369+992=1361$
$912+988=1800$,$912+988=1900$
$304+918=1322$,$304+918=1222$
$383+898=1381$,$383+898=1281$
$214+791=905$,$214+791=1005$
$145+862=907$,$145+862=1007$
$357+996=1453$,$357+996=1353$
$120+986=1006$,$120+986=1106$
$328+911=1339$,$328+911=1239$
$886+604=1590$,$886+604=1490$
$392+728=1220$,$392+728=1120$
$832+869=1601$,$832+869=1701$
$352+900=1352$,$352+900=1252$
$920+180=1000$,$920+180=1100$
$243+760=903$,$243+760=1003$
$350+998=1448$,$350+998=1348$
$371+920=1391$,$371+920=1291$
$984+415=1499$,$984+415=1399$
$135+868=903$,$135+868=1003$
$369+993=1462$,$369+993=1362$
$242+765=907$,$242+765=1007$
$371+998=1469$,$371+998=1369$
$934+966=1800$,$934+966=1900$
$395+719=1214$,$395+719=1114$
$499+618=1217$,$499+618=1117$
$373+942=1415$,$373+942=1315$
$325+906=1331$,$325+906=1231$
$337+912=1349$,$337+912=1249$
$335+907=1342$,$335+907=1242$
$328+909=1337$,$328+909=1237$
$372+697=1169$,$372+697=1069$
$372+819=1291$,$372+819=1191$
$385+997=1482$,$385+997=1382$
$389+798=1287$,$389+798=1187$
$430+572=902$,$430+572=1002$
$133+876=909$,$133+876=1009$
$996+803=1899$,$996+803=1799$
$399+925=1424$,$399+925=1324$
$141+867=908$,$141+867=1008$
$922+983=1805$,$922+983=1905$
$430+872=1202$,$430+872=1302$
$995+604=1699$,$995+604=1599$
$361+699=1160$,$361+699=1060$
$497+818=1415$,$497+818=1315$
$597+911=1608$,$597+911=1508$
$373+954=1427$,$373+954=1327$
$473+697=1270$,$473+697=1170$
$371+900=1371$,$371+900=1271$
$245+761=906$,$245+761=1006$
$329+916=1345$,$329+916=1245$
$597+918=1615$,$597+918=1515$
$307+702=1109$,$307+702=1009$
$377+928=1405$,$377+928=1305$
$153+850=903$,$153+850=1003$
$396+897=1393$,$396+897=1293$
$784+907=1791$,$784+907=1691$
$231+869=1000$,$231+869=1100$
$355+907=1362$,$355+907=1262$
$376+915=1391$,$376+915=1291$
$764+635=1499$,$764+635=1399$
$344+797=1241$,$344+797=1141$
$639+752=1491$,$639+752=1391$
$349+742=1191$,$349+742=1091$
$597+917=1614$,$597+917=1514$
$386+934=1420$,$386+934=1320$
$364+990=1454$,$364+990=1354$
$922+981=1803$,$922+981=1903$
$907+184=1191$,$907+184=1091$
$826+281=1007$,$826+281=1107$
$597+814=1511$,$597+814=1411$
$210+794=904$,$210+794=1004$
$359+797=1256$,$359+797=1156$
$385+933=1418$,$385+933=1318$
$220+882=1002$,$220+882=1102$
$230+785=915$,$230+785=1015$
$152+853=905$,$152+853=1005$
$362+960=1422$,$362+960=1322$
$149+860=909$,$149+860=1009$
