38933/50000
{'task': 'plain_addition', 'decoder': True, 'data_dir': 'data/addition', 'model_dir': 'models', 'results_dir': 'results/15k_dollar_signs', 'resume': False, 'n_embd': 384, 'n_layer': 6, 'n_head': 6, 'block_size': 64, 'batch_size': 64, 'test_batch_size': 2048, 'max_iters': 4000, 'eval_interval': 100, 'min_lr': 6e-05, 'max_lr': 0.0006, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'seed': 1, 'n_digits': 3, 'n_train': 15000, 'n_val': 10000, 'n_test': 50000, 'use_dollar_signs': True, 'name': 'plain_addition_dollar_signs_true_1'}
$246+494=730$,$246+494=740$
$795+202=1097,$795+202=997$
$165+187=452$,$165+187=352$
$187+191=478$,$187+191=378$
$209+455=764$,$209+455=664$
$337+359=796$,$337+359=696$
$575+321=996$,$575+321=896$
$245+447=792$,$245+447=692$
$194+121=415$,$194+121=315$
$233+560=893$,$233+560=793$
$206+235=541$,$206+235=441$
$123+193=416$,$123+193=316$
$718+279=1097,$718+279=997$
$150+616=776$,$150+616=766$
$247+362=709$,$247+362=609$
$237+457=794$,$237+457=694$
$251+439=790$,$251+439=690$
$149+150=399$,$149+150=299$
$640+156=896$,$640+156=796$
$146+186=422$,$146+186=332$
$266+276=642$,$266+276=542$
$753+244=1097,$753+244=997$
$115+459=674$,$115+459=574$
$233+261=594$,$233+261=494$
$185+187=472$,$185+187=372$
$225+355=680$,$225+355=580$
$232+462=794$,$232+462=694$
$731+268=1099,$731+268=999$
$428+466=994$,$428+466=894$
$246+259=605$,$246+259=505$
$148+783=921$,$148+783=931$
$214+759=1073,$214+759=973$
$218+654=972$,$218+654=872$
$246+168=514$,$246+168=414$
$348+282=620$,$348+282=630$
$305+165=460$,$305+165=470$
$746+189=925$,$746+189=935$
$178+208=486$,$178+208=386$
$364+228=502$,$364+228=592$
$708+289=1097,$708+289=997$
$645+252=997$,$645+252=897$
$381+411=892$,$381+411=792$
$728+215=1043,$728+215=943$
$108+290=498$,$108+290=398$
$128+467=695$,$128+467=595$
$226+757=1083,$226+757=983$
$181+118=399$,$181+118=299$
$129+398=526$,$129+398=527$
$783+102=985$,$783+102=885$
$126+192=418$,$126+192=318$
$347+551=998$,$347+551=898$
$216+583=899$,$216+583=799$
$408+109=516$,$408+109=517$
$262+115=477$,$262+115=377$
$110+859=1078,$110+859=969$
$181+110=391$,$181+110=291$
$249+550=899$,$249+550=799$
$458+344=702$,$458+344=802$
$109+156=365$,$109+156=265$
$145+183=428$,$145+183=328$
$208+590=898$,$208+590=798$
$622+271=993$,$622+271=893$
$605+385=980$,$605+385=990$
$344+263=697$,$344+263=607$
$645+253=998$,$645+253=898$
$245+248=593$,$245+248=493$
$349+450=899$,$349+450=799$
$197+393=580$,$197+393=590$
$487+461=848$,$487+461=948$
$119+251=470$,$119+251=370$
$790+104=994$,$790+104=894$
$136+184=410$,$136+184=320$
$322+268=690$,$322+268=590$
$173+819=1002,$173+819=992$
$485+155=630$,$485+155=640$
$413+286=799$,$413+286=699$
$207+739=1046,$207+739=946$
$449+384=823$,$449+384=833$
$703+291=1094,$703+291=994$
$226+215=451$,$226+215=441$
$347+494=831$,$347+494=841$
$149+179=428$,$149+179=328$
$245+385=620$,$245+385=630$
$684+296=970$,$684+296=980$
$351+347=798$,$351+347=698$
$597+307=804$,$597+307=904$
$821+162=1083,$821+162=983$
$720+275=1095,$720+275=995$
$193+204=497$,$193+204=397$
$448+250=798$,$448+250=698$
$195+224=519$,$195+224=419$
$184+386=560$,$184+386=570$
$396+303=799$,$396+303=699$
$274+225=599$,$274+225=499$
$721+256=1087,$721+256=977$
$258+717=1075,$258+717=975$
$340+557=997$,$340+557=897$
$324+466=890$,$324+466=790$
$498+209=607$,$498+209=707$
$224+252=576$,$224+252=476$
$355+185=530$,$355+185=540$
$142+737=889$,$142+737=879$
$126+256=492$,$126+256=382$
$672+327=1099,$672+327=999$
$346+154=590$,$346+154=500$
$159+234=493$,$159+234=393$
$255+378=733$,$255+378=633$
$149+288=426$,$149+288=437$
$234+162=496$,$234+162=396$
$796+126=1022,$796+126=922$
$193+137=420$,$193+137=330$
$367+429=896$,$367+429=796$
$206+723=1029,$206+723=929$
$290+101=491$,$290+101=391$
$196+296=482$,$196+296=492$
$237+287=514$,$237+287=524$
$232+139=471$,$232+139=371$
$183+111=394$,$183+111=294$
$258+739=1097,$258+739=997$
$262+734=1096,$262+734=996$
$220+689=919$,$220+689=909$
$386+114=400$,$386+114=500$
$470+466=836$,$470+466=936$
$144+853=1097,$144+853=997$
$195+151=446$,$195+151=346$
$162+577=749$,$162+577=739$
$146+587=723$,$146+587=733$
$102+186=388$,$102+186=288$
$197+674=861$,$197+674=871$
$292+303=695$,$292+303=595$
$249+149=498$,$249+149=398$
$191+201=492$,$191+201=392$
$239+229=568$,$239+229=468$
$819+180=1099,$819+180=999$
$271+723=1094,$271+723=994$
$176+248=524$,$176+248=424$
$198+347=535$,$198+347=545$
$274+621=995$,$274+621=895$
$298+132=420$,$298+132=430$
$186+159=445$,$186+159=345$
