"Step","medium_openwebtext - encoder_val_loss","medium_openwebtext - encoder_val_loss__MIN","medium_openwebtext - encoder_val_loss__MAX"
"20000","5.227794551849366","5.227794551849366","5.227794551849366"
"20500","5.191501550674438","5.191501550674438","5.191501550674438"
"21000","5.218844594955445","5.218844594955445","5.218844594955445"
"21500","5.167100296020508","5.167100296020508","5.167100296020508"
"22000","5.150896186828613","5.150896186828613","5.150896186828613"
"22500","5.162053689956665","5.162053689956665","5.162053689956665"
"23000","5.144089212417603","5.144089212417603","5.144089212417603"
"23500","5.113871717453003","5.113871717453003","5.113871717453003"
"24000","5.1027234840393065","5.1027234840393065","5.1027234840393065"
"24500","5.115323572158814","5.115323572158814","5.115323572158814"
"25000","5.099759664535522","5.099759664535522","5.099759664535522"
"25500","5.100259447097779","5.100259447097779","5.100259447097779"
"26000","5.110781002044678","5.110781002044678","5.110781002044678"
"26500","5.040025415420533","5.040025415420533","5.040025415420533"
"27000","5.08836296081543","5.08836296081543","5.08836296081543"
"27500","5.075339889526367","5.075339889526367","5.075339889526367"
"28000","5.0533100128173825","5.0533100128173825","5.0533100128173825"
"28500","5.065793504714966","5.065793504714966","5.065793504714966"
"29000","5.068123550415039","5.068123550415039","5.068123550415039"
"29500","5.0551285076141355","5.0551285076141355","5.0551285076141355"
"30000","5.054756927490234","5.054756927490234","5.054756927490234"
"30500","5.026644229888916","5.026644229888916","5.026644229888916"
"31000","5.04896279335022","5.04896279335022","5.04896279335022"
"31500","5.037535848617554","5.037535848617554","5.037535848617554"
"32000","4.98317852973938","4.98317852973938","4.98317852973938"
"32500","5.014116353988648","5.014116353988648","5.014116353988648"
"33000","5.029647483825683","5.029647483825683","5.029647483825683"
"33500","5.0307993316650395","5.0307993316650395","5.0307993316650395"
"34000","4.973739910125732","4.973739910125732","4.973739910125732"
"34500","5.000901727676392","5.000901727676392","5.000901727676392"
"35000","5.000446634292603","5.000446634292603","5.000446634292603"
"35500","4.958796043395996","4.958796043395996","4.958796043395996"
"36000","5.0089498805999755","5.0089498805999755","5.0089498805999755"
"36500","4.989445858001709","4.989445858001709","4.989445858001709"
"37000","4.996113414764404","4.996113414764404","4.996113414764404"
"37500","4.99109974861145","4.99109974861145","4.99109974861145"
"38000","4.974592132568359","4.974592132568359","4.974592132568359"
"38500","4.943366289138794","4.943366289138794","4.943366289138794"
"39000","4.962272758483887","4.962272758483887","4.962272758483887"
"39500","4.952047395706177","4.952047395706177","4.952047395706177"
"40000","4.970710802078247","4.970710802078247","4.970710802078247"
"40500","4.918571443557739","4.918571443557739","4.918571443557739"
"41000","4.93468391418457","4.93468391418457","4.93468391418457"
"41500","4.9415515041351314","4.9415515041351314","4.9415515041351314"
"42000","4.939305286407471","4.939305286407471","4.939305286407471"
"42500","4.929220476150513","4.929220476150513","4.929220476150513"
"43000","4.90332893371582","4.90332893371582","4.90332893371582"
"43500","4.9227483940124515","4.9227483940124515","4.9227483940124515"
"44000","4.904182462692261","4.904182462692261","4.904182462692261"
"44500","4.925251665115357","4.925251665115357","4.925251665115357"
"45000","4.91278844833374","4.91278844833374","4.91278844833374"
"45500","4.9206326293945315","4.9206326293945315","4.9206326293945315"
"46000","4.9189873313903805","4.9189873313903805","4.9189873313903805"
"46500","4.902908725738525","4.902908725738525","4.902908725738525"
"47000","4.906451225280762","4.906451225280762","4.906451225280762"
"47500","4.92198579788208","4.92198579788208","4.92198579788208"
"48000","4.904154481887818","4.904154481887818","4.904154481887818"
"48500","4.936954212188721","4.936954212188721","4.936954212188721"
"49000","4.873185329437256","4.873185329437256","4.873185329437256"
"49500","4.891188592910766","4.891188592910766","4.891188592910766"
"50000","4.891947603225708","4.891947603225708","4.891947603225708"
"50500","4.866528806686401","4.866528806686401","4.866528806686401"
"51000","4.894068326950073","4.894068326950073","4.894068326950073"
"51500","4.89851300239563","4.89851300239563","4.89851300239563"
"52000","4.902579975128174","4.902579975128174","4.902579975128174"
"52500","4.9019708251953125","4.9019708251953125","4.9019708251953125"
"53000","4.8690510177612305","4.8690510177612305","4.8690510177612305"
"53500","4.86203860282898","4.86203860282898","4.86203860282898"
"54000","4.846587657928467","4.846587657928467","4.846587657928467"
"54500","4.852358293533325","4.852358293533325","4.852358293533325"
"55000","4.869556570053101","4.869556570053101","4.869556570053101"
"55500","4.832379026412964","4.832379026412964","4.832379026412964"
"56000","4.862989768981934","4.862989768981934","4.862989768981934"
"56500","4.865712814331054","4.865712814331054","4.865712814331054"
"57000","4.870105962753296","4.870105962753296","4.870105962753296"
"57500","4.832084016799927","4.832084016799927","4.832084016799927"
"58000","4.848934316635132","4.848934316635132","4.848934316635132"
"58500","4.8348317527771","4.8348317527771","4.8348317527771"
"59000","4.854773797988892","4.854773797988892","4.854773797988892"
"59500","4.85014817237854","4.85014817237854","4.85014817237854"
"60000","4.836289281845093","4.836289281845093","4.836289281845093"
"60500","4.864831571578979","4.864831571578979","4.864831571578979"
"61000","4.82689603805542","4.82689603805542","4.82689603805542"
"61500","4.839790697097778","4.839790697097778","4.839790697097778"
"62000","4.84740382194519","4.84740382194519","4.84740382194519"
"62500","4.845245761871338","4.845245761871338","4.845245761871338"
"63000","4.832660913467407","4.832660913467407","4.832660913467407"
"63500","4.825656881332398","4.825656881332398","4.825656881332398"
"64000","4.834029960632324","4.834029960632324","4.834029960632324"
"64500","4.823020524978638","4.823020524978638","4.823020524978638"
"65000","4.866974983215332","4.866974983215332","4.866974983215332"
"65500","4.84298641204834","4.84298641204834","4.84298641204834"
"66000","4.826027307510376","4.826027307510376","4.826027307510376"
"66500","4.811079568862915","4.811079568862915","4.811079568862915"
"67000","4.835723943710327","4.835723943710327","4.835723943710327"
"67500","4.807985153198242","4.807985153198242","4.807985153198242"
"68000","4.825458402633667","4.825458402633667","4.825458402633667"
"68500","4.796793260574341","4.796793260574341","4.796793260574341"
"69000","4.792745923995971","4.792745923995971","4.792745923995971"
"69500","4.79701322555542","4.79701322555542","4.79701322555542"
"70000","4.824863414764405","4.824863414764405","4.824863414764405"
"70500","4.775074634552002","4.775074634552002","4.775074634552002"
"71000","4.811405057907105","4.811405057907105","4.811405057907105"
"71500","4.808806648254395","4.808806648254395","4.808806648254395"
"72000","4.772748765945434","4.772748765945434","4.772748765945434"
"72500","4.8153134536743165","4.8153134536743165","4.8153134536743165"
"73000","4.827910919189453","4.827910919189453","4.827910919189453"
"73500","4.7953639793396","4.7953639793396","4.7953639793396"
"74000","4.818768329620362","4.818768329620362","4.818768329620362"
"74500","4.7923784351348875","4.7923784351348875","4.7923784351348875"
"75000","4.775013513565064","4.775013513565064","4.775013513565064"
"75500","4.7771399974822994","4.7771399974822994","4.7771399974822994"
"76000","4.774414405822754","4.774414405822754","4.774414405822754"
"76500","4.768102674484253","4.768102674484253","4.768102674484253"
"77000","4.7883563804626466","4.7883563804626466","4.7883563804626466"
"77500","4.7897436237335205","4.7897436237335205","4.7897436237335205"
"78000","4.748698196411133","4.748698196411133","4.748698196411133"
"78500","4.750700073242188","4.750700073242188","4.750700073242188"
"79000","4.787329530715942","4.787329530715942","4.787329530715942"
"79500","4.784582586288452","4.784582586288452","4.784582586288452"
"80000","4.768622579574585","4.768622579574585","4.768622579574585"
"80500","4.797739133834839","4.797739133834839","4.797739133834839"
"81000","4.798002605438232","4.798002605438232","4.798002605438232"
"81500","4.7672404861450195","4.7672404861450195","4.7672404861450195"
"82000","4.770388679504395","4.770388679504395","4.770388679504395"
"82500","4.771867847442627","4.771867847442627","4.771867847442627"
"83000","4.77157829284668","4.77157829284668","4.77157829284668"
"83500","4.7727590179443355","4.7727590179443355","4.7727590179443355"
"84000","4.7670902919769285","4.7670902919769285","4.7670902919769285"
"84500","4.778575763702393","4.778575763702393","4.778575763702393"
"85000","4.770493030548096","4.770493030548096","4.770493030548096"
"85500","4.735355815887451","4.735355815887451","4.735355815887451"
"86000","4.721700191497803","4.721700191497803","4.721700191497803"
"86500","4.771161527633667","4.771161527633667","4.771161527633667"
"87000","4.751883277893066","4.751883277893066","4.751883277893066"
"87500","4.73904426574707","4.73904426574707","4.73904426574707"
"88000","4.767678318023681","4.767678318023681","4.767678318023681"
"88500","4.77429877281189","4.77429877281189","4.77429877281189"
"89000","4.745305404663086","4.745305404663086","4.745305404663086"
"89500","4.72214038848877","4.72214038848877","4.72214038848877"
"90000","4.742503471374512","4.742503471374512","4.742503471374512"
"90500","4.715262966156006","4.715262966156006","4.715262966156006"
"91000","4.735426912307739","4.735426912307739","4.735426912307739"
"91500","4.732956457138061","4.732956457138061","4.732956457138061"
"92000","4.730791893005371","4.730791893005371","4.730791893005371"
"92500","4.738739995956421","4.738739995956421","4.738739995956421"
"93000","4.710415153503418","4.710415153503418","4.710415153503418"
"93500","4.711323146820068","4.711323146820068","4.711323146820068"
"94000","4.71406195640564","4.71406195640564","4.71406195640564"
"94500","4.711990385055542","4.711990385055542","4.711990385055542"
"95000","4.70990159034729","4.70990159034729","4.70990159034729"
"95500","4.7243912982940675","4.7243912982940675","4.7243912982940675"
"96000","4.715287971496582","4.715287971496582","4.715287971496582"
"96500","4.727401618957519","4.727401618957519","4.727401618957519"
"97000","4.718174962997437","4.718174962997437","4.718174962997437"
"97500","4.728416967391968","4.728416967391968","4.728416967391968"
"98000","4.714640846252442","4.714640846252442","4.714640846252442"
"98500","4.722709093093872","4.722709093093872","4.722709093093872"
"99000","4.706178197860718","4.706178197860718","4.706178197860718"
"99500","4.692647895812988","4.692647895812988","4.692647895812988"
"100000","4.7095507049560545","4.7095507049560545","4.7095507049560545"
"100500","4.673126955032348","4.673126955032348","4.673126955032348"
"101000","4.693232793807983","4.693232793807983","4.693232793807983"
"101500","4.694027700424194","4.694027700424194","4.694027700424194"
"102000","4.672801733016968","4.672801733016968","4.672801733016968"
"102500","4.695142984390259","4.695142984390259","4.695142984390259"
"103000","4.675294551849365","4.675294551849365","4.675294551849365"
"103500","4.696856288909912","4.696856288909912","4.696856288909912"
"104000","4.6810418891906735","4.6810418891906735","4.6810418891906735"
"104500","4.680805377960205","4.680805377960205","4.680805377960205"
"105000","4.69138313293457","4.69138313293457","4.69138313293457"
"105500","4.676019268035889","4.676019268035889","4.676019268035889"
"106000","4.67219349861145","4.67219349861145","4.67219349861145"
"106500","4.691492004394531","4.691492004394531","4.691492004394531"
"107000","4.650693912506103","4.650693912506103","4.650693912506103"
"107500","4.671012802124023","4.671012802124023","4.671012802124023"
"108000","4.682350673675537","4.682350673675537","4.682350673675537"
"108500","4.706076192855835","4.706076192855835","4.706076192855835"
"109000","4.685185194015503","4.685185194015503","4.685185194015503"
"109500","4.6719785404205325","4.6719785404205325","4.6719785404205325"
"110000","4.681117839813233","4.681117839813233","4.681117839813233"
"110500","4.678656339645386","4.678656339645386","4.678656339645386"
"111000","4.686695766448975","4.686695766448975","4.686695766448975"
"111500","4.652533721923828","4.652533721923828","4.652533721923828"
"112000","4.687578897476197","4.687578897476197","4.687578897476197"
"112500","4.661141233444214","4.661141233444214","4.661141233444214"
"113000","4.6543474292755125","4.6543474292755125","4.6543474292755125"
"113500","4.674560441970825","4.674560441970825","4.674560441970825"
"114000","4.680707168579102","4.680707168579102","4.680707168579102"
"114500","4.660186290740967","4.660186290740967","4.660186290740967"
"115000","4.671774778366089","4.671774778366089","4.671774778366089"
"115500","4.66390245437622","4.66390245437622","4.66390245437622"
"116000","4.678466625213623","4.678466625213623","4.678466625213623"
"116500","4.6617027950286865","4.6617027950286865","4.6617027950286865"
"117000","4.657848739624024","4.657848739624024","4.657848739624024"
"117500","4.668954496383667","4.668954496383667","4.668954496383667"
"118000","4.670243577957153","4.670243577957153","4.670243577957153"
"118500","4.690951242446899","4.690951242446899","4.690951242446899"
"119000","4.646633834838867","4.646633834838867","4.646633834838867"
"119500","4.6566236782073975","4.6566236782073975","4.6566236782073975"
"120000","4.645661659240723","4.645661659240723","4.645661659240723"
"120500","4.673343143463135","4.673343143463135","4.673343143463135"
"121000","4.666675996780396","4.666675996780396","4.666675996780396"
"121500","4.616492519378662","4.616492519378662","4.616492519378662"
"122000","4.670477819442749","4.670477819442749","4.670477819442749"
"122500","4.671221837997437","4.671221837997437","4.671221837997437"
"123000","4.652455158233643","4.652455158233643","4.652455158233643"
"123500","4.65935209274292","4.65935209274292","4.65935209274292"
"124000","4.674841213226318","4.674841213226318","4.674841213226318"
"124500","4.646450681686401","4.646450681686401","4.646450681686401"
"125000","4.644368896484375","4.644368896484375","4.644368896484375"
"125500","4.636544437408447","4.636544437408447","4.636544437408447"
"126000","4.644354066848755","4.644354066848755","4.644354066848755"
"126500","4.641645555496216","4.641645555496216","4.641645555496216"
"127000","4.6750251579284665","4.6750251579284665","4.6750251579284665"
"127500","4.62878158569336","4.62878158569336","4.62878158569336"
"128000","4.676698064804077","4.676698064804077","4.676698064804077"
"128500","4.663537273406982","4.663537273406982","4.663537273406982"
"129000","4.670172243118286","4.670172243118286","4.670172243118286"
"129500","4.64179744720459","4.64179744720459","4.64179744720459"
"130000","4.637566156387329","4.637566156387329","4.637566156387329"
"130500","4.643703413009644","4.643703413009644","4.643703413009644"
"131000","4.670350999832153","4.670350999832153","4.670350999832153"
"131500","4.671249418258667","4.671249418258667","4.671249418258667"
"132000","4.663154850006103","4.663154850006103","4.663154850006103"
"132500","4.64950156211853","4.64950156211853","4.64950156211853"
"133000","4.66463264465332","4.66463264465332","4.66463264465332"
"133500","4.659334239959716","4.659334239959716","4.659334239959716"
"134000","4.640756521224976","4.640756521224976","4.640756521224976"
"134500","4.6530705833435055","4.6530705833435055","4.6530705833435055"
"135000","4.663280010223389","4.663280010223389","4.663280010223389"
"135500","4.663353643417358","4.663353643417358","4.663353643417358"
"136000","4.661266441345215","4.661266441345215","4.661266441345215"
"136500","4.684619798660278","4.684619798660278","4.684619798660278"
"137000","4.647528791427613","4.647528791427613","4.647528791427613"
"137500","4.673898496627808","4.673898496627808","4.673898496627808"
"138000","4.658354797363281","4.658354797363281","4.658354797363281"
"138500","4.627175025939941","4.627175025939941","4.627175025939941"
"139000","4.65830174446106","4.65830174446106","4.65830174446106"
"139500","4.662333984375","4.662333984375","4.662333984375"
"140000","4.652552528381348","4.652552528381348","4.652552528381348"
"140500","4.643435087203979","4.643435087203979","4.643435087203979"
"141000","4.661526689529419","4.661526689529419","4.661526689529419"
"141500","4.636616191864014","4.636616191864014","4.636616191864014"
"142000","4.665318040847779","4.665318040847779","4.665318040847779"
"142500","4.643492574691773","4.643492574691773","4.643492574691773"
"143000","4.649137811660767","4.649137811660767","4.649137811660767"
"143500","4.646786422729492","4.646786422729492","4.646786422729492"
"144000","4.669038610458374","4.669038610458374","4.669038610458374"
"144500","4.632931413650513","4.632931413650513","4.632931413650513"
"145000","4.667735414505005","4.667735414505005","4.667735414505005"
"145500","4.65625768661499","4.65625768661499","4.65625768661499"
"146000","4.662209224700928","4.662209224700928","4.662209224700928"
"146500","4.651234540939331","4.651234540939331","4.651234540939331"
"147000","4.6265802001953125","4.6265802001953125","4.6265802001953125"
"147500","4.648392686843872","4.648392686843872","4.648392686843872"
"148000","4.667261867523194","4.667261867523194","4.667261867523194"
"148500","4.691676549911499","4.691676549911499","4.691676549911499"
"149000","4.650796489715576","4.650796489715576","4.650796489715576"
"149500","4.644224729537964","4.644224729537964","4.644224729537964"
"150000","4.669146795272827","4.669146795272827","4.669146795272827"
"150500","4.625843944549561","4.625843944549561","4.625843944549561"
"151000","4.628507232666015","4.628507232666015","4.628507232666015"
