"Step","reversed_addition_len_gen_extra_small_deep_encoder_1_new - test_acc_n_digits_14","reversed_addition_len_gen_extra_small_deep_encoder_1_new - test_acc_n_digits_14__MIN","reversed_addition_len_gen_extra_small_deep_encoder_1_new - test_acc_n_digits_14__MAX","reversed_addition_len_gen_extra_small_deep_encoder_0_new - test_acc_n_digits_14","reversed_addition_len_gen_extra_small_deep_encoder_0_new - test_acc_n_digits_14__MIN","reversed_addition_len_gen_extra_small_deep_encoder_0_new - test_acc_n_digits_14__MAX","reversed_addition_len_gen_extra_small_deep_decoder_2_new - test_acc_n_digits_14","reversed_addition_len_gen_extra_small_deep_decoder_2_new - test_acc_n_digits_14__MIN","reversed_addition_len_gen_extra_small_deep_decoder_2_new - test_acc_n_digits_14__MAX","reversed_addition_len_gen_extra_small_deep_decoder_1_new - test_acc_n_digits_14","reversed_addition_len_gen_extra_small_deep_decoder_1_new - test_acc_n_digits_14__MIN","reversed_addition_len_gen_extra_small_deep_decoder_1_new - test_acc_n_digits_14__MAX","reversed_addition_len_gen_extra_small_deep_decoder_0_new - test_acc_n_digits_14","reversed_addition_len_gen_extra_small_deep_decoder_0_new - test_acc_n_digits_14__MIN","reversed_addition_len_gen_extra_small_deep_decoder_0_new - test_acc_n_digits_14__MAX"
"34500","","","","","","","0","0","0","0","0","0","0","0","0"
"35000","","","","","","","0","0","0","0","0","0","0","0","0"
"35500","","","","","","","0","0","0","0","0","0","0","0","0"
"36000","","","","","","","0","0","0","0","0","0","0","0","0"
"36500","","","","","","","0","0","0","0","0","0","0","0","0"
"37000","","","","","","","0","0","0","0","0","0","0","0","0"
"37500","","","","","","","0","0","0","0","0","0","0","0","0"
"38000","","","","","","","0","0","0","0","0","0","0","0","0"
"38500","","","","","","","0","0","0","0","0","0","0","0","0"
"39000","","","","","","","0","0","0","0","0","0","0","0","0"
"39500","","","","","","","0","0","0","0","0","0","0","0","0"
"40000","","","","","","","0","0","0","0","0","0","0","0","0"
"40500","","","","","","","0","0","0","0","0","0","0","0","0"
"41000","","","","","","","0","0","0","0","0","0","0","0","0"
"41500","","","","","","","0","0","0","0","0","0","0","0","0"
"42000","","","","","","","0","0","0","0","0","0","0","0","0"
"42500","","","","","","","0","0","0","0","0","0","0","0","0"
"43000","","","","","","","0","0","0","0","0","0","0","0","0"
"43500","","","","","","","0","0","0","0","0","0","0","0","0"
"44000","","","","","","","0","0","0","0","0","0","0","0","0"
"44500","","","","","","","0","0","0","0","0","0","0","0","0"
"45000","","","","","","","0","0","0","0","0","0","0","0","0"
"45500","","","","","","","0","0","0","0","0","0","0","0","0"
"46000","","","","","","","0","0","0","0","0","0","0","0","0"
"46500","","","","","","","0","0","0","0","0","0","0","0","0"
"47000","","","","","","","0","0","0","0","0","0","0","0","0"
"47500","","","","","","","0","0","0","0","0","0","0","0","0"
"48000","","","","","","","0","0","0","0","0","0","0","0","0"
"48500","","","","","","","0","0","0","0","0","0","0","0","0"
"49000","","","","","","","0","0","0","0","0","0","0","0","0"
"49500","","","","","","","0","0","0","0","0","0","0","0","0"
"50000","","","","","","","0","0","0","0","0","0","0","0","0"
